end_of_quarter,end_of_quarter_release,ticker,industry,increase
2023-12-31,2024-02-01,NOW,Software - Application,-0.01744489261612354
2020-03-31,2020-05-13,RF,Banks - Regional,0.6590172873310671
2020-06-30,2020-08-12,RF,Banks - Regional,0.6600102887379148
2020-09-30,2020-11-12,RF,Banks - Regional,0.5829223360697153
2020-12-31,2021-03-03,RF,Banks - Regional,-0.023454574427966668
2021-03-31,2021-05-12,RF,Banks - Regional,0.11871567794944257
2021-06-30,2021-08-13,RF,Banks - Regional,0.23098299371088019
2021-09-30,2021-11-11,RF,Banks - Regional,-0.1500248063757425
2021-12-31,2022-03-03,RF,Banks - Regional,-0.0689835926438391
2022-03-31,2022-05-13,RF,Banks - Regional,0.19795895564860636
2022-06-30,2022-08-12,RF,Banks - Regional,0.050251282047591564
2022-09-30,2022-11-10,RF,Banks - Regional,-0.28672881218122404
2022-12-31,2023-03-03,RF,Banks - Regional,-0.17774527615884697
2023-03-31,2023-05-12,RF,Banks - Regional,-0.015417189881806712
2023-06-30,2023-08-15,RF,Banks - Regional,-0.047968131817841216
2023-09-30,2023-11-14,RF,Banks - Regional,0.29471999164856977
2023-12-31,2024-03-01,RF,Banks - Regional,0.07907473379712993
2020-03-31,2020-05-14,KMPR,Insurance - Property & Casualty,0.2321330992681852
2020-06-30,2020-08-10,KMPR,Insurance - Property & Casualty,-0.10445020441763184
2020-09-30,2020-11-09,KMPR,Insurance - Property & Casualty,0.20553672120735608
2020-12-31,2021-02-17,KMPR,Insurance - Property & Casualty,-0.10699379822631891
2021-03-31,2021-05-06,KMPR,Insurance - Property & Casualty,-0.1906291528769525
2021-06-30,2021-08-05,KMPR,Insurance - Property & Casualty,-0.15627169198816343
2021-09-30,2021-11-04,KMPR,Insurance - Property & Casualty,-0.16065084510541353
2021-12-31,2022-02-17,KMPR,Insurance - Property & Casualty,0.01163366844944385
2022-03-31,2022-05-09,KMPR,Insurance - Property & Casualty,0.1644800615783349
2022-06-30,2022-08-08,KMPR,Insurance - Property & Casualty,0.5473545071575016
2022-09-30,2022-11-09,KMPR,Insurance - Property & Casualty,-0.11621819748965545
2022-12-31,2023-02-16,KMPR,Insurance - Property & Casualty,-0.26338819084559273
2023-03-31,2023-05-15,KMPR,Insurance - Property & Casualty,-0.06275424034732534
2023-06-30,2023-08-14,KMPR,Insurance - Property & Casualty,0.1765604178386969
2023-09-30,2023-11-06,KMPR,Insurance - Property & Casualty,0.3967967850143587
2023-12-31,2024-02-14,KMPR,Insurance - Property & Casualty,0.010379527559160863
2020-03-31,2020-05-18,AMN,Medical Care Facilities,0.4574468708705112
2020-06-30,2020-08-17,AMN,Medical Care Facilities,0.513685373217164
2020-09-30,2020-11-13,AMN,Medical Care Facilities,0.4531576566025802
2020-12-31,2021-03-05,AMN,Medical Care Facilities,0.6071872197605003
2021-03-31,2021-05-17,AMN,Medical Care Facilities,0.2488789836003935
2021-06-30,2021-08-13,AMN,Medical Care Facilities,-0.033787688817760154
2021-09-30,2021-11-12,AMN,Medical Care Facilities,-0.19943718673150268
2021-12-31,2022-03-03,AMN,Medical Care Facilities,-0.0575559547070163
2022-03-31,2022-05-13,AMN,Medical Care Facilities,0.3272599514183257
2022-06-30,2022-08-12,AMN,Medical Care Facilities,-0.18646592336342546
2022-09-30,2022-11-11,AMN,Medical Care Facilities,-0.17500665570221374
2022-12-31,2023-03-01,AMN,Medical Care Facilities,-0.018109152806656773
2023-03-31,2023-05-12,AMN,Medical Care Facilities,-0.3548938301660503
2023-06-30,2023-08-11,AMN,Medical Care Facilities,-0.1567753544640072
2023-09-30,2023-11-13,AMN,Medical Care Facilities,0.0022348473819384933
2023-12-31,2024-02-29,AMN,Medical Care Facilities,0.03607603985751865
2020-03-31,2020-05-13,FHI,Asset Management,0.33105954772495977
2020-06-30,2020-08-11,FHI,Asset Management,0.1476854296177162
2020-09-30,2020-11-06,FHI,Asset Management,0.34069529323985026
2020-12-31,2021-03-05,FHI,Asset Management,0.10573212296174377
2021-03-31,2021-05-11,FHI,Asset Management,0.11161547551776889
2021-06-30,2021-08-10,FHI,Asset Management,0.03520339083922899
2021-09-30,2021-11-05,FHI,Asset Management,-0.1207889112921849
2021-12-31,2022-03-04,FHI,Asset Management,0.06730999317213435
2022-03-31,2022-05-10,FHI,Asset Management,0.2124087264335751
2022-06-30,2022-08-09,FHI,Asset Management,0.17211050525010366
2022-09-30,2022-11-08,FHI,Asset Management,0.09607067741315602
2022-12-31,2023-03-03,FHI,Asset Management,-0.10338274304464581
2023-03-31,2023-05-09,FHI,Asset Management,-0.13918029977565097
2023-06-30,2023-08-09,FHI,Asset Management,0.07185942036253029
2023-09-30,2023-11-03,FHI,Asset Management,0.11793928844439122
2023-12-31,2024-03-01,FHI,Asset Management,0.003344451736691911
2020-03-31,2020-05-18,ARCB,Trucking,0.8837545174118822
2020-06-30,2020-08-13,ARCB,Trucking,0.7750094226470724
2020-09-30,2020-11-13,ARCB,Trucking,1.1990878358839534
2020-12-31,2021-03-05,ARCB,Trucking,0.050721693058572624
2021-03-31,2021-05-14,ARCB,Trucking,0.32581055422221167
2021-06-30,2021-08-13,ARCB,Trucking,0.23317329677910595
2021-09-30,2021-11-12,ARCB,Trucking,-0.32198178865150895
2021-12-31,2022-03-04,ARCB,Trucking,-0.09592378705027159
2022-03-31,2022-05-13,ARCB,Trucking,0.13267890856299944
2022-06-30,2022-08-12,ARCB,Trucking,0.10846710484857365
2022-09-30,2022-11-11,ARCB,Trucking,0.031154700994242036
2022-12-31,2023-03-03,ARCB,Trucking,0.06484922248309487
2023-03-31,2023-05-12,ARCB,Trucking,0.3254493877847189
2023-06-30,2023-08-11,ARCB,Trucking,0.33021637032775153
2023-09-30,2023-11-10,ARCB,Trucking,0.24415654946548979
2023-12-31,2024-03-01,ARCB,Trucking,0.011185449630321871
2020-03-31,2020-05-11,SSB,Banks - Regional,0.5327213802198121
2020-06-30,2020-08-14,SSB,Banks - Regional,0.31032145294047886
2020-09-30,2020-11-13,SSB,Banks - Regional,0.2556130469331818
2020-12-31,2021-03-05,SSB,Banks - Regional,-0.16859428882062824
2021-03-31,2021-05-14,SSB,Banks - Regional,-0.063192656868883
2021-06-30,2021-08-13,SSB,Banks - Regional,0.2334394985413159
2021-09-30,2021-11-12,SSB,Banks - Regional,-0.10210212536375342
2021-12-31,2022-03-04,SSB,Banks - Regional,-0.0646010837216345
2022-03-31,2022-05-13,SSB,Banks - Regional,0.15860702141550917
2022-06-30,2022-08-12,SSB,Banks - Regional,-0.060809326744139386
2022-09-30,2022-11-11,SSB,Banks - Regional,-0.26982398896793924
2022-12-31,2023-03-03,SSB,Banks - Regional,-0.0477145165727605
