end_of_quarter,ticker,industry,sector,fte,auditrisk,compensationrisk,boardrisk,shareholderrightsrisk,maxage,dividends,weekly_price_0,weekly_price_1,weekly_price_2,weekly_price_3,weekly_price_4,weekly_price_5,weekly_price_6,weekly_price_7,weekly_price_8,weekly_price_9,increase
2022-02-28,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,0.97,378.79559936523435,356.62274169921875,332.3374786376953,325.95916137695315,341.3777221679687,332.95929565429685,316.8985107421875,308.7182846069336,350.2791259765625,359.74400024414064,-0.034695028833053
2022-05-31,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,0.97,306.31682739257815,298.23597412109376,308.92828979492185,315.3696655273437,327.4550354003906,331.4284973144531,315.516357421875,309.59132080078126,299.1357055664063,295.535693359375,-0.016483065519993654
2022-08-31,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,0.97,294.0041961669922,290.9860473632813,268.36435546875,280.78389739990234,275.2608154296875,269.8987579345703,265.3869689941406,274.6463562011719,289.404248046875,299.8345458984375,0.0027756547622014285
2022-11-30,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,1.12,281.6581497192383,280.41563415527344,273.7636657714844,260.3064270019531,252.19026794433594,262.21632995605466,248.8861511230469,259.25526733398436,275.0909057617188,265.9598785400391,-0.11162371381590205
2023-02-28,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,1.12,262.7973403930664,274.4622314453125,274.7911605834961,271.5856628417969,279.73778076171874,280.88800048828125,279.4915710449219,265.04173278808594,262.20062255859375,290.795166015625,0.1477772720907436
2023-05-31,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,1.12,261.85594177246094,258.0546478271484,246.764990234375,257.4440612792969,275.223486328125,279.36305236816406,279.6060302734375,275.1870849609375,271.8612426757812,269.60512084960936,0.060483667538048805
2023-08-31,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,1.12,304.0157063802083,304.42169799804685,313.40464477539064,305.5646057128906,299.9292419433594,305.1493606567383,309.73854370117186,315.1929870605469,313.89910888671875,314.3892883300781,0.03382814190587776
2023-11-30,ACN,Information Technology Services,technology,743000.0,1.0,4.0,3.0,4.0,86400,1.29,322.4006754557292,324.0006790161133,314.3019714355469,313.17279052734375,307.5685668945313,306.7489868164063,306.9753051757813,302.35590209960935,292.0913940429688,301.3077453613281,0.1388917415942368
2022-03-04,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,531.5239990234375,525.1180053710938,510.1700134277344,506.87998657226564,525.5479919433594,501.8299987792969,466.29600219726564,449.30250549316406,466.15499114990234,642.4239990234375,-0.04947690902085911
2022-06-03,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,455.60499572753906,435.14000244140624,434.6419921875,441.3400024414062,458.0419982910156,453.95599365234375,428.3300018310547,423.2260009765625,403.49000244140626,405.9480041503906,-0.14338233832131736
2022-09-02,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,435.52000427246094,422.3960021972656,369.052001953125,373.1699981689453,369.9480041503906,384.9124984741211,376.8919982910156,395.0719970703125,395.5239990234375,421.9219970703125,-0.06527415749636166
2022-12-02,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,368.1400146484375,381.6074981689453,348.97999877929686,289.00799560546875,277.8760009765625,292.95399780273436,287.87599487304686,299.0119995117187,320.96400146484376,301.48399658203124,-0.05314319082176217
2023-03-03,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,334.8800048828125,342.506005859375,346.1500015258789,364.20000610351565,377.84800415039064,376.8419982910156,370.1700012207031,340.74500274658203,325.7875061035156,331.0279968261719,0.26836991128666926
